el 382 1865074 0.000205
gu 3 1865074 0.000002
en 1646082 1865074 0.882583
zh 531 1865074 0.000285
vi 92 1865074 0.000049
is 317 1865074 0.000170
it 3813 1865074 0.002044
iw 78 1865074 0.000042
kn 1 1865074 0.000001
eu 467 1865074 0.000250
cy 2845 1865074 0.001525
ar 15788 1865074 0.008465
in 4966 1865074 0.002663
cs 503 1865074 0.000270
et 1903 1865074 0.001020
es 12628 1865074 0.006771
ps 4 1865074 0.000002
sr 25 1865074 0.000013
nl 2491 1865074 0.001336
pt 6035 1865074 0.003236
no 914 1865074 0.000490
tr 3418 1865074 0.001833
lt 387 1865074 0.000207
lv 275 1865074 0.000147
tl 6252 1865074 0.003352
pa 3 1865074 0.000002
th 951 1865074 0.000510
ro 549 1865074 0.000294
pl 2906 1865074 0.001558
ta 65 1865074 0.000035
fr 10742 1865074 0.005760
bg 51 1865074 0.000027
ru 1258 1865074 0.000675
bn 22 1865074 0.000012
de 3491 1865074 0.001872
ht 1962 1865074 0.001052
da 1164 1865074 0.000624
fa 594 1865074 0.000318
hi 644 1865074 0.000345
fi 410 1865074 0.000220
hy 1 1865074 0.000001
hu 398 1865074 0.000213
ja 1784 1865074 0.000957
te 1 1865074 0.000001
ne 78 1865074 0.000042
ml 12 1865074 0.000006
ckb 6 1865074 0.000003
ko 304 1865074 0.000163
sv 1194 1865074 0.000640
ur 634 1865074 0.000340
si 27 1865074 0.000014
und 125466 1865074 0.067271
uk 39 1865074 0.000021
sl 115 1865074 0.000062
my 2 1865074 0.000001
sd 1 1865074 0.000001
