hr total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
0 1722564 0 18 0 0 0 0 0 0 0 0 3 0 12565 0 0 488 0 721 0 0 8474 0 0 4 97 0 0 3284 942 0 0 0 0 0 35 187 0 756427 1526 0 0 0 1185 2332 215665 5091 0 0 0 839 0 0 51 0 0 0 0 47 0 0 0 0 0 70557 0 0 0 0 121015 0 0 7 0 0 0 0 0 946 604 0 0 0 0 3 392109 0 25539 4 0 0 1493 0 4 0 0 4198 592 1763 0 0 0 0 0 35 0 0 0 0 260 0 185 43 0 5 0 0 0 0 0 0 0 375 580 30976 0 5944 75 0 0 0 0 26442 0 0 0 0 0 0 0 0 0 2448 0 770 0 0 0 193 0 0 0 0 0 0 0 0 18701 0 0 355 0 1682 0 0 0 1 0 8 0 57 0 3254 1059 5 0 0 0 40 0 0 0 0 256 0 0 0 0 0 0 
1 1631623 0 69 0 0 0 0 0 0 0 0 9 0 7913 0 0 521 0 763 0 0 10218 0 0 28 264 0 0 2999 1072 0 0 0 0 0 157 133 0 714046 1576 0 0 0 1206 2248 211711 4229 0 0 0 823 0 0 36 0 0 0 0 63 1 0 0 0 0 74637 0 0 0 0 112679 0 0 9 0 0 0 0 0 933 602 0 0 0 0 2 366854 0 28014 11 0 0 1296 0 0 0 0 4046 624 2839 0 0 0 0 0 38 0 0 0 0 435 0 128 80 0 7 0 0 0 0 0 0 0 445 483 31667 4 4647 63 0 0 0 0 17996 0 0 0 0 0 0 0 0 0 2115 0 921 0 0 0 399 0 0 0 0 0 0 0 0 13132 0 0 258 0 1373 0 0 0 0 0 5 0 41 0 3469 976 5 0 0 0 58 0 0 0 0 247 0 0 0 0 0 0 
2 1715779 0 111 0 0 0 0 0 0 0 0 7 0 6237 0 0 466 0 735 0 0 12900 0 0 38 465 0 0 2456 1039 0 0 0 0 0 174 150 0 765700 1851 0 0 0 1194 2553 235220 5435 0 0 0 757 0 0 28 0 0 0 0 92 0 0 0 0 0 85298 0 0 0 0 123857 0 0 15 0 0 0 0 0 958 532 0 0 0 0 5 336887 0 33491 20 0 0 1246 0 2 0 0 4422 603 4763 0 0 0 0 0 78 0 0 0 0 505 0 115 197 0 15 0 0 0 0 0 0 0 541 464 39737 1 4516 72 0 0 0 0 19230 0 0 0 0 0 0 0 0 0 1983 0 868 0 0 0 465 0 0 0 0 0 0 0 0 9930 0 0 281 0 1579 0 0 0 0 0 11 0 33 0 4120 928 5 0 0 0 153 0 0 0 0 245 0 0 0 0 0 0 
3 1661961 0 204 0 0 0 0 0 0 0 0 11 0 7871 0 0 518 0 689 0 0 15845 0 0 37 623 0 0 2960 1019 0 0 0 0 0 185 300 0 783086 2109 0 0 0 1082 2475 212686 7602 0 0 0 750 0 0 51 0 0 0 0 102 0 0 0 0 0 117366 0 0 0 0 126109 0 0 24 0 0 0 0 0 994 546 0 0 0 0 6 228555 0 37625 19 0 0 1372 0 2 0 0 4322 655 6289 0 0 0 0 0 107 0 0 0 0 638 0 200 203 0 14 0 0 0 0 0 0 0 619 376 43262 3 4055 246 0 0 0 0 27686 0 0 0 0 0 0 0 0 0 2574 0 901 0 0 0 485 0 0 0 0 0 0 0 0 8596 0 0 318 0 1745 0 0 0 0 0 1 0 48 0 4364 1034 9 0 0 0 143 0 0 0 0 242 0 0 0 0 0 3 
4 1491500 0 309 0 0 0 0 0 0 0 0 7 0 16646 0 0 522 0 606 0 0 19519 0 0 51 719 0 0 4570 1072 0 0 0 0 0 166 496 0 719420 2526 0 0 0 1010 2792 171028 11612 0 0 0 767 0 0 94 0 0 0 0 131 0 0 0 0 0 103798 0 0 0 0 115296 0 0 39 0 0 0 0 0 825 609 0 0 0 0 23 147631 0 41443 23 0 0 1725 0 9 0 0 4075 751 7697 0 0 0 0 0 106 0 0 0 0 914 0 331 209 1 20 0 0 0 0 0 0 0 692 290 48190 3 4852 554 0 0 0 0 33080 0 0 0 0 0 0 0 0 0 3377 0 884 0 0 0 538 0 0 0 0 0 0 0 0 9494 0 0 504 0 2247 0 0 0 1 0 2 0 38 0 5361 1434 9 0 0 0 142 0 0 0 0 216 0 0 0 0 0 4 
5 1163826 0 214 0 0 0 0 0 0 0 0 12 0 23498 0 0 505 0 472 0 0 18458 0 0 59 627 0 0 5200 953 0 0 0 6 0 103 920 0 554390 2260 0 0 0 802 2606 106952 14032 0 0 0 694 0 0 162 0 0 0 0 124 0 0 0 0 0 92334 0 0 0 0 90767 0 0 21 0 0 0 0 0 628 711 0 0 0 0 11 80111 0 36774 26 0 0 2305 0 8 0 0 3196 792 7707 0 0 0 0 0 127 0 0 0 0 1169 0 517 255 0 28 0 0 0 0 0 0 0 643 240 45113 4 6646 717 0 0 0 0 31064 0 0 0 0 0 0 0 0 0 4466 0 709 0 0 0 498 0 0 0 0 0 0 0 0 13006 0 0 633 0 2377 0 0 0 5 0 13 0 85 0 4646 1956 5 0 0 0 121 0 0 0 0 342 0 0 0 0 0 1 
6 1118874 0 369 0 0 0 0 0 0 0 0 17 0 36246 0 0 575 0 409 0 0 19462 0 0 68 826 0 0 7501 1233 0 0 0 2 0 181 1437 0 490864 2506 0 0 0 824 2746 78604 20079 0 0 0 725 0 0 233 0 0 0 0 172 0 0 0 0 0 109513 0 0 0 0 89254 0 0 39 0 0 0 0 0 684 900 0 0 0 0 21 54273 0 39310 27 0 0 3591 0 14 0 0 2992 695 8222 0 0 0 0 0 186 0 0 0 0 1362 0 827 332 0 18 0 0 0 0 0 0 0 713 267 49176 12 9814 944 0 0 0 0 39129 0 0 0 0 0 0 0 0 0 6882 0 880 0 0 0 447 0 0 0 0 0 0 0 0 20385 0 0 834 0 3112 0 0 0 6 0 18 0 149 0 5396 2847 2 0 0 0 83 0 0 0 0 432 0 0 0 0 0 7 
7 1094477 0 329 0 0 0 0 0 0 0 0 0 0 41757 0 0 727 0 452 0 0 20697 0 0 82 858 0 0 10578 1280 0 0 0 0 0 104 1637 0 442371 2541 0 0 0 788 2707 65915 22058 0 0 0 830 0 0 307 0 0 0 0 203 0 0 0 0 0 118739 0 0 0 0 87943 0 0 39 0 0 0 0 0 739 1074 0 0 0 0 12 50287 0 39390 14 0 0 4730 0 24 0 0 2784 875 8221 0 0 0 0 0 110 0 0 0 0 1498 0 1088 257 0 18 0 0 0 0 0 0 0 739 256 49638 4 12547 998 0 0 0 0 41363 0 0 0 0 0 0 0 0 0 9048 0 987 0 0 0 467 0 0 0 0 0 0 0 0 29529 0 0 986 0 3331 0 0 0 2 0 21 0 241 0 6362 3285 5 0 0 0 132 0 0 0 0 469 0 0 0 0 0 4 
8 1224001 0 315 0 0 0 0 0 0 0 0 12 0 51242 0 0 803 0 488 0 0 22938 0 0 45 842 0 0 12252 1508 0 0 0 0 0 105 1634 0 434446 2620 0 0 0 966 3030 67886 25368 0 0 0 835 0 0 307 0 0 0 0 264 0 0 0 0 0 151790 0 0 0 0 93978 0 0 38 0 0 0 0 0 831 1323 0 0 0 0 12 96010 0 44369 19 0 0 5711 0 37 0 0 2906 849 8040 0 0 0 0 0 164 0 0 0 0 1231 0 1246 229 0 16 0 0 0 0 0 0 0 893 347 53227 7 15468 1035 0 0 0 0 47647 0 0 0 0 0 0 0 0 0 11125 0 1261 0 0 0 445 0 0 0 0 0 0 0 0 39565 0 0 1101 0 3332 0 0 0 4 0 35 0 280 0 7049 3757 3 0 0 0 146 0 0 0 0 568 0 0 0 0 0 1 
9 1310499 0 316 0 0 0 0 0 0 0 0 4 0 53308 0 0 849 0 515 0 0 24622 0 0 63 860 0 0 12763 1756 0 0 0 1 0 79 1541 0 431122 2851 0 0 0 1033 3262 80340 26756 0 0 0 1019 0 0 339 0 0 0 0 210 0 0 0 0 0 162485 0 0 0 0 98823 0 0 38 0 0 0 0 0 882 1392 0 0 0 0 27 128252 0 51556 19 0 0 6252 0 35 0 0 2905 977 7547 0 0 0 0 0 114 0 0 0 0 1387 0 1251 231 1 33 0 0 0 0 0 0 0 905 379 55992 3 16525 1038 0 0 0 0 51745 0 0 0 0 0 0 0 0 0 11575 0 1360 0 0 0 489 0 0 0 0 0 0 0 0 45981 0 0 1247 0 3097 0 0 0 6 0 25 0 306 0 7279 4061 8 0 0 0 134 0 0 0 0 520 0 0 0 0 0 8 
