day total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
155 142857 0 20 0 0 0 0 0 0 0 0 4 0 4390 0 0 92 0 65 0 0 2609 0 0 4 65 0 0 1118 156 0 0 0 0 0 5 129 0 50245 239 0 0 0 94 303 12674 2391 0 0 0 90 0 0 23 0 0 0 0 15 0 0 0 0 0 14034 0 0 0 0 10190 0 0 3 0 0 0 0 0 105 120 0 0 0 0 2 17266 0 6475 1 0 0 462 0 5 0 0 301 70 654 0 0 0 0 0 17 0 0 0 0 147 0 110 24 0 2 0 0 0 0 0 0 0 74 43 5222 1 1499 86 0 0 0 0 4730 0 0 0 0 0 0 0 0 0 956 0 121 0 0 0 35 0 0 0 0 0 0 0 0 3816 0 0 102 0 273 0 0 0 2 0 2 0 60 0 640 405 0 0 0 0 21 0 0 0 0 50 0 0 0 0 0 0 
156 152106 0 30 0 0 0 0 0 0 0 0 1 0 4002 0 0 70 0 55 0 0 2371 0 0 4 46 0 0 1013 130 0 0 0 0 0 6 97 0 57450 211 0 0 0 99 282 14599 2390 0 0 0 93 0 0 26 0 0 0 0 13 0 0 0 0 0 14320 0 0 0 0 10409 0 0 0 0 0 0 0 0 95 123 0 0 0 0 0 18829 0 6546 6 0 0 491 0 0 0 0 327 75 648 0 0 0 0 0 19 0 0 0 0 135 0 104 12 0 2 0 0 0 0 0 0 0 79 50 5184 1 1422 81 0 0 0 0 4388 0 0 0 0 0 0 0 0 0 816 0 122 0 0 0 40 0 0 0 0 0 0 0 0 3391 0 0 82 0 233 0 0 0 0 0 1 0 39 0 593 396 1 0 0 0 19 0 0 0 0 39 0 0 0 0 0 0 
157 156261 0 19 0 0 0 0 0 0 0 0 1 0 3829 0 0 54 0 68 0 0 2471 0 0 1 59 0 0 840 153 0 0 0 0 0 3 151 0 61389 186 0 0 0 93 281 15706 2070 0 0 0 75 0 0 28 0 0 0 0 26 0 0 0 0 0 12408 0 0 0 0 10436 0 0 1 0 0 0 0 0 104 86 0 0 0 0 7 20887 0 6675 2 0 0 476 0 2 0 0 402 67 620 0 0 0 0 0 42 0 0 0 0 103 0 104 12 0 3 0 0 0 0 0 0 0 68 44 5046 0 1225 97 0 0 0 0 4565 0 0 0 0 0 0 0 0 0 798 0 110 0 0 0 53 0 0 0 0 0 0 0 0 2988 0 0 73 0 244 0 0 0 0 0 0 0 19 0 593 318 1 0 0 0 27 0 0 0 0 51 0 0 0 0 0 1 
158 158245 0 13 0 0 0 0 0 0 0 0 1 0 5829 0 0 73 0 44 0 0 2595 0 0 4 55 0 0 805 124 0 0 0 0 0 11 119 0 64329 237 0 0 0 104 253 16196 2017 0 0 0 98 0 0 20 0 0 0 0 9 0 0 0 0 0 10450 0 0 0 0 10530 0 0 15 0 0 0 0 0 94 100 0 0 0 0 1 21024 0 6061 2 0 0 458 0 2 0 0 373 67 631 0 0 0 0 0 18 0 0 0 0 214 0 99 9 0 3 0 0 0 0 0 0 0 46 46 4699 1 1131 77 0 0 0 0 3978 0 0 0 0 0 0 0 0 0 796 0 100 0 0 0 40 0 0 0 0 0 0 0 0 2881 0 0 91 0 262 0 0 0 1 0 2 0 25 0 638 275 0 0 0 0 17 0 0 0 0 52 0 0 0 0 0 0 
159 158644 0 86 0 0 0 0 0 0 0 0 2 0 4066 0 0 73 0 70 0 0 2712 0 0 5 71 0 0 785 114 0 0 0 0 0 14 82 0 69436 196 0 0 0 97 318 16671 2144 0 0 0 100 0 0 23 0 0 0 0 23 0 0 0 0 0 7220 0 0 0 0 11231 0 0 4 0 0 0 0 0 81 124 0 0 0 0 0 21143 0 4628 2 0 0 469 0 3 0 0 377 69 656 0 0 0 0 0 8 0 0 0 0 154 0 94 12 0 1 0 0 0 0 0 0 0 54 45 4340 1 1163 43 0 0 0 0 4169 0 0 0 0 0 0 0 0 0 895 0 120 0 0 0 49 0 0 0 0 0 0 0 0 3127 0 0 117 0 245 0 0 0 0 0 3 0 33 0 527 280 1 0 0 0 21 0 0 0 0 47 0 0 0 0 0 0 
160 158462 0 107 0 0 0 0 0 0 0 0 0 0 6915 0 0 74 0 69 0 0 2242 0 0 3 68 0 0 1063 124 0 0 0 0 0 16 94 0 72075 228 0 0 0 85 278 16777 2226 0 0 0 95 0 0 14 0 0 0 0 19 0 0 0 0 0 3969 0 0 0 0 11801 0 0 5 0 0 0 0 0 115 127 0 0 0 0 3 19356 0 2932 4 0 0 447 0 2 0 0 373 81 778 0 0 0 0 0 17 0 0 0 0 167 0 85 27 0 0 0 0 0 0 0 0 0 37 37 3757 0 1267 69 0 0 0 0 4652 0 0 0 0 0 0 0 0 0 944 0 123 0 0 0 45 0 0 0 0 0 0 0 0 3477 0 0 117 0 277 0 0 0 0 0 4 0 46 0 391 302 0 0 0 0 11 0 0 0 0 44 0 0 0 0 0 1 
161 158711 0 29 0 0 0 0 0 0 0 0 0 0 14520 0 0 68 0 68 0 0 1653 0 0 2 31 0 0 1062 146 0 0 0 0 0 4 130 0 69377 89 0 0 0 92 259 17787 2404 0 0 0 99 0 0 30 0 0 0 0 15 0 0 0 0 0 2357 0 0 0 0 11490 0 0 3 0 0 0 0 0 78 144 0 0 0 0 1 18052 0 1911 2 0 0 500 0 1 0 0 393 101 578 0 0 0 0 0 11 0 0 0 0 214 0 102 9 0 1 0 0 0 0 0 0 0 18 37 2503 1 1336 87 0 0 0 0 4991 0 0 0 0 0 0 0 0 0 952 0 128 0 0 0 34 0 0 0 0 0 0 0 0 3718 0 0 106 0 285 0 0 0 0 0 3 0 37 0 222 366 0 0 0 0 13 0 0 0 0 60 0 0 0 0 0 1 
162 157745 0 18 0 0 0 0 0 0 0 0 0 0 12914 0 0 73 0 60 0 0 1149 0 0 0 28 0 0 1102 145 0 0 0 0 0 3 184 0 71245 94 0 0 0 98 208 16868 2479 0 0 0 92 0 0 29 0 0 0 0 10 0 0 0 0 0 1570 0 0 0 0 11487 0 0 1 0 0 0 0 0 80 126 0 0 0 0 1 18828 0 1515 2 0 0 600 0 1 0 0 350 83 389 0 0 0 0 0 0 0 0 0 0 154 0 110 8 0 2 0 0 0 0 0 0 0 13 31 1818 0 1451 86 0 0 0 0 5911 0 0 0 0 0 0 0 0 0 1047 0 108 0 0 0 13 0 0 0 0 0 0 0 0 4110 0 0 139 0 306 0 0 0 0 0 1 0 42 0 119 374 0 0 0 0 10 0 0 0 0 58 0 0 0 0 0 2 
163 157700 0 7 0 0 0 0 0 0 0 0 0 0 8201 0 0 61 0 69 0 0 652 0 0 0 16 0 0 1172 135 0 0 0 0 0 3 205 0 72682 47 0 0 0 95 265 16734 2321 0 0 0 58 0 0 25 0 0 0 0 12 0 0 0 0 0 1488 0 0 0 0 12169 0 0 0 0 0 0 0 0 88 120 0 0 0 0 0 21464 0 1102 0 0 0 661 0 4 0 0 398 84 258 0 0 0 0 0 0 0 0 0 0 114 0 111 5 1 0 0 0 0 0 0 0 0 17 65 1383 0 1949 96 0 0 0 0 6339 0 0 0 0 0 0 0 0 0 1192 0 153 0 0 0 5 0 0 0 0 0 0 0 0 4537 0 0 134 0 300 0 0 0 1 0 6 0 31 0 176 433 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 1 
164 158025 0 1 0 0 0 0 0 0 0 0 1 0 5871 0 0 62 0 49 0 0 452 0 0 1 4 0 0 1195 135 0 0 0 0 0 0 170 0 73103 34 0 0 0 91 239 17502 1871 0 0 0 85 0 0 13 0 0 0 0 4 0 0 0 0 0 1861 0 0 0 0 12154 0 0 1 0 0 0 0 0 97 110 0 0 0 0 0 24523 0 1083 1 0 0 630 0 0 0 0 433 78 132 0 0 0 0 0 1 0 0 0 0 69 0 93 0 0 0 0 0 0 0 0 0 0 17 57 1219 0 2061 45 0 0 0 0 6028 0 0 0 0 0 0 0 0 0 922 0 144 0 0 0 4 0 0 0 0 0 0 0 0 4496 0 0 135 0 223 0 0 0 0 0 4 0 25 0 115 337 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 1 
165 157961 0 3 0 0 0 0 0 0 0 0 0 0 4949 0 0 41 0 75 0 0 294 0 0 0 1 0 0 1021 131 0 0 0 0 0 0 134 0 70217 37 0 0 0 113 189 18606 1427 0 0 0 75 0 0 21 0 0 0 0 3 0 0 0 0 0 3680 0 0 0 0 11573 0 0 0 0 0 0 0 0 78 87 0 0 0 0 0 28955 0 1273 0 0 0 491 0 1 0 0 365 68 74 0 0 0 0 0 3 0 0 0 0 44 0 71 0 0 0 0 0 0 0 0 0 0 24 49 1230 0 1373 31 0 0 0 0 5411 0 0 0 0 0 0 0 0 0 643 0 103 0 0 0 1 0 0 0 0 0 0 0 0 4321 0 0 107 0 150 0 0 0 0 0 7 0 32 0 92 251 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 
166 156381 0 0 0 0 0 0 0 0 0 0 0 0 3038 0 0 55 0 65 0 0 325 0 0 0 2 0 0 506 88 0 0 0 0 0 0 56 0 68125 95 0 0 0 89 198 18900 940 0 0 0 67 0 0 12 0 0 0 0 0 0 0 0 0 0 5878 0 0 0 0 11389 0 0 0 0 0 0 0 0 92 56 0 0 0 0 0 32765 0 1738 0 0 0 234 0 0 0 0 383 50 67 0 0 0 0 0 0 0 0 0 0 27 0 43 1 0 0 0 0 0 0 0 0 0 19 54 1517 0 880 22 0 0 0 0 4378 0 0 0 0 0 0 0 0 0 356 0 73 0 0 0 0 0 0 0 0 0 0 0 0 3213 0 0 63 0 149 0 0 0 0 0 3 0 17 0 195 125 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 
167 156643 0 0 0 0 0 0 0 0 0 0 0 0 1771 0 0 41 0 73 0 0 609 0 0 0 7 0 0 325 94 0 0 0 0 0 2 13 0 65113 129 0 0 0 111 187 19588 586 0 0 0 82 0 0 1 0 0 0 0 0 0 0 0 0 0 6251 0 0 0 0 10793 0 0 0 0 0 0 0 0 94 55 0 0 0 0 0 38704 0 2003 1 0 0 146 0 0 0 0 332 60 84 0 0 0 0 0 4 0 0 0 0 33 0 25 3 0 1 0 0 0 0 0 0 0 23 53 2365 0 582 9 0 0 0 0 3171 0 0 0 0 0 0 0 0 0 252 0 74 0 0 0 10 0 0 0 0 0 0 0 0 2234 0 0 41 0 132 0 0 0 0 0 0 0 3 0 257 94 1 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 
168 158723 0 0 0 0 0 0 0 0 0 0 0 0 900 0 0 67 0 73 0 0 709 0 0 0 5 0 0 263 82 0 0 0 0 0 1 18 0 65050 130 0 0 0 94 216 19932 377 0 0 0 80 0 0 3 0 0 0 0 2 0 0 0 0 0 4824 0 0 0 0 10996 0 0 0 0 0 0 0 0 112 61 0 0 0 0 1 44149 0 2243 1 0 0 97 0 0 0 0 374 75 185 0 0 0 0 0 2 0 0 0 0 22 0 10 10 0 0 0 0 0 0 0 0 0 26 63 2686 0 520 4 0 0 0 0 1956 0 0 0 0 0 0 0 0 0 250 0 57 0 0 0 26 0 0 0 0 0 0 0 0 1366 0 0 29 0 143 0 0 0 0 0 0 0 0 0 340 72 0 0 0 0 4 0 0 0 0 17 0 0 0 0 0 0 
