hr total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
10 245423 0 12 0 0 0 0 0 0 0 0 3 0 8413 0 0 177 0 89 0 0 4096 0 0 3 127 0 0 2238 251 0 0 0 0 0 19 236 0 84263 521 0 0 0 175 534 14962 3951 0 0 0 169 0 0 72 0 0 0 0 34 0 0 0 0 0 30878 0 0 0 0 19821 0 0 3 0 0 0 0 0 180 169 0 0 0 0 6 21585 0 11668 4 0 0 1066 0 4 0 0 548 160 1671 0 0 0 0 0 32 0 0 0 0 406 0 161 36 0 3 0 0 0 0 0 0 0 112 63 9156 2 3332 210 0 0 0 0 12088 0 0 0 0 0 0 0 0 0 2305 0 198 0 0 0 80 0 0 0 0 0 0 0 0 6504 0 0 259 0 619 0 0 0 2 0 6 0 46 0 954 620 1 0 0 0 11 0 0 0 0 107 0 0 0 0 0 2 
11 262255 0 9 0 0 0 0 0 0 0 0 4 0 8321 0 0 174 0 112 0 0 4477 0 0 5 103 0 0 2034 216 0 0 0 0 0 15 247 0 88942 520 0 0 0 204 598 18646 3852 0 0 0 183 0 0 67 0 0 0 0 69 0 0 0 0 0 31703 0 0 0 0 20898 0 0 9 0 0 0 0 0 167 180 0 0 0 0 3 27229 0 11907 2 0 0 871 0 3 0 0 634 138 1577 0 0 0 0 0 47 0 0 0 0 494 0 146 46 0 5 0 0 0 0 0 0 0 94 76 9732 2 3122 230 0 0 0 0 12268 0 0 0 0 0 0 0 0 0 2229 0 211 0 0 0 85 0 0 0 0 0 0 0 0 6657 0 0 272 0 655 0 0 0 1 0 3 0 33 0 905 719 3 0 0 0 17 0 0 0 0 83 0 0 0 0 0 1 
12 284201 0 7 0 0 0 0 0 0 0 0 3 0 7879 0 0 183 0 120 0 0 4908 0 0 21 104 0 0 2197 237 0 0 0 0 0 13 220 0 100568 529 0 0 0 221 592 22428 3524 0 0 0 168 0 0 46 0 0 0 0 62 0 0 0 0 0 31315 0 0 0 0 22692 0 0 7 0 0 0 0 0 220 210 0 0 0 0 4 31953 0 13306 6 0 0 936 0 8 0 0 724 138 1511 0 0 0 0 0 43 0 0 0 0 533 0 130 41 0 4 0 0 0 0 0 0 0 120 90 10079 2 3187 240 0 0 0 0 11162 0 0 0 0 0 0 0 0 0 2129 0 201 0 0 0 118 0 0 0 0 0 0 0 0 6345 0 0 252 0 552 0 0 0 0 0 10 0 55 0 1045 686 1 0 0 0 30 0 0 0 0 81 0 0 0 0 0 5 
13 402432 0 15 0 0 0 0 0 0 0 0 7 0 11060 0 0 233 0 187 0 0 6148 0 0 27 210 0 0 2317 298 0 0 0 1 0 16 279 0 154502 697 0 0 0 301 843 35095 4866 0 0 0 225 0 0 45 0 0 0 0 133 0 0 0 0 0 35716 0 0 0 0 30960 0 0 12 0 0 0 0 0 407 252 0 0 0 0 2 48388 0 18853 3 0 0 1105 0 6 0 0 985 199 2013 0 0 0 0 0 33 0 0 0 0 555 0 178 54 0 10 0 0 0 0 0 0 0 139 103 13299 1 4369 230 0 0 0 0 13020 0 0 0 0 0 0 0 0 0 2563 0 286 0 0 0 213 0 0 0 0 0 0 0 0 7433 0 0 321 0 717 0 0 0 1 0 4 0 52 0 1453 830 1 0 0 0 31 0 0 0 0 126 0 0 0 0 0 4 
14 457183 0 18 0 0 0 0 0 0 0 0 7 0 10314 0 0 280 0 183 0 0 7387 0 0 29 200 0 0 2529 391 0 0 0 1 0 20 322 0 188344 763 0 0 0 308 826 42104 5174 0 0 0 248 0 0 64 0 0 0 0 83 1 0 0 0 0 32602 0 0 0 0 35982 0 0 8 0 0 0 0 0 330 302 0 0 0 0 2 56595 0 18300 3 0 0 1217 0 2 0 0 1092 193 2191 0 0 0 0 0 26 0 0 0 0 560 0 200 53 0 15 0 0 0 0 0 0 0 124 124 14055 0 4402 242 0 0 0 0 14586 0 0 0 0 0 0 0 0 0 2709 0 332 0 0 0 161 0 0 0 0 0 0 0 0 7546 0 0 373 0 764 0 0 0 0 0 2 0 51 0 1359 886 4 0 0 0 41 0 0 0 0 153 0 0 0 0 0 0 
15 405304 0 8 0 0 0 0 0 0 0 0 4 0 10598 0 0 203 0 180 0 0 7575 0 0 20 177 0 0 2271 317 0 0 0 1 0 26 255 0 175009 596 0 0 0 294 847 37135 4928 0 0 0 236 0 0 66 0 0 0 0 52 0 0 0 0 0 20808 0 0 0 0 32579 0 0 6 0 0 0 0 0 253 264 0 0 0 0 1 53260 0 12590 5 0 0 990 0 2 0 0 1090 185 1873 0 0 0 0 0 58 0 0 0 0 468 0 191 46 1 23 0 0 0 0 0 0 0 119 114 11160 0 3239 175 0 0 0 0 12460 0 0 0 0 0 0 0 0 0 2354 0 282 0 0 0 136 0 0 0 0 0 0 0 0 6575 0 0 239 0 676 0 0 0 0 0 4 0 45 0 1271 819 1 0 0 0 18 0 0 0 0 126 0 0 0 0 0 0 
16 462849 0 16 0 0 0 0 0 0 0 0 5 0 20506 0 0 231 0 185 0 0 6489 0 0 16 223 0 0 2695 362 0 0 0 0 0 26 278 0 209992 510 0 0 0 301 809 43182 5450 0 0 0 244 0 0 76 0 0 0 0 88 0 0 0 0 0 13528 0 0 0 0 37089 0 0 10 0 0 0 0 0 322 274 0 0 0 0 3 59587 0 9980 7 0 0 1151 0 8 0 0 1272 201 2382 0 0 0 0 0 82 0 0 0 0 506 0 220 83 0 19 0 0 0 0 0 0 0 89 134 10617 3 3654 273 0 0 0 0 15398 0 0 0 0 0 0 0 0 0 2676 0 363 0 0 0 140 0 0 0 0 0 0 0 0 7828 0 0 303 0 815 0 0 0 1 0 8 0 59 0 1030 896 2 0 0 0 19 0 0 0 0 127 0 0 0 0 0 6 
17 469461 0 34 0 0 0 0 0 0 0 0 2 0 25037 0 0 245 0 195 0 0 4626 0 0 14 209 0 0 2850 361 0 0 0 0 0 36 342 0 222203 405 0 0 0 325 831 44611 5311 0 0 0 257 0 0 74 0 0 0 0 171 0 0 0 0 0 8486 0 0 0 0 38224 0 0 11 0 0 0 0 0 303 281 0 0 0 0 3 54694 0 6897 3 0 0 1264 0 6 0 0 1305 213 2025 0 0 0 0 0 51 0 0 0 0 459 0 220 45 0 14 0 0 0 0 0 0 0 83 145 8146 1 4232 282 0 0 0 0 18309 0 0 0 0 0 0 0 0 0 2926 0 339 0 0 0 108 0 0 0 0 0 0 0 0 9123 0 0 341 0 872 0 0 0 3 0 7 0 72 0 683 984 0 0 0 0 18 0 0 0 0 137 0 0 0 0 0 7 
18 466342 0 24 0 0 0 0 0 0 0 0 2 0 26122 0 0 248 0 262 0 0 3146 0 0 8 161 0 0 2981 430 0 0 0 1 0 19 312 0 227251 263 0 0 0 292 841 42927 5399 0 0 0 264 0 0 60 0 0 0 0 170 0 0 0 0 0 5889 0 0 0 0 38471 0 0 19 0 0 0 0 0 339 351 0 0 0 0 1 52021 0 5107 2 0 0 1306 0 5 0 0 1228 217 1556 0 0 0 0 0 53 0 0 0 0 500 0 196 57 0 10 0 0 0 0 0 0 0 67 151 6199 1 4356 311 0 0 0 0 20093 0 0 0 0 0 0 0 0 0 3320 0 401 0 0 0 39 0 0 0 0 0 0 0 0 9769 0 0 418 0 816 0 0 0 0 0 11 0 50 0 524 1102 2 0 0 0 28 0 0 0 0 171 0 0 0 0 0 2 
19 465711 0 5 0 0 0 0 0 0 0 0 0 0 30108 0 0 187 0 196 0 0 1829 0 0 7 97 0 0 2982 424 0 0 0 0 0 6 377 0 226809 162 0 0 0 284 760 42057 5412 0 0 0 341 0 0 66 0 0 0 0 60 0 0 0 0 0 5411 0 0 0 0 38568 0 0 4 0 0 0 0 0 352 356 0 0 0 0 5 52098 0 3967 0 0 0 1491 0 7 0 0 1244 212 1028 0 0 0 0 0 23 0 0 0 0 416 0 288 32 0 6 0 0 0 0 0 0 0 47 123 4434 1 4611 333 0 0 0 0 20789 0 0 0 0 0 0 0 0 0 3493 0 408 0 0 0 27 0 0 0 0 0 0 0 0 10258 0 0 442 0 960 0 0 0 0 0 14 0 62 0 379 1486 0 0 0 0 32 0 0 0 0 131 0 0 0 0 0 4 
20 465898 0 4 0 0 0 0 0 0 0 0 2 0 18577 0 0 203 0 171 0 0 1064 0 0 1 37 0 0 2812 427 0 0 0 3 0 5 459 0 230458 176 0 0 0 294 785 43141 5106 0 0 0 304 0 0 63 0 0 0 0 32 0 0 0 0 0 6579 0 0 0 0 39208 0 0 0 0 0 0 0 0 429 280 0 0 0 0 1 59582 0 3735 3 0 0 1521 0 7 0 0 1362 211 697 0 0 0 0 0 13 0 0 0 0 399 0 285 11 0 0 0 0 0 0 0 0 0 72 257 3900 0 5147 303 0 0 0 0 19899 0 0 0 0 0 0 0 0 0 3411 0 406 0 0 0 12 0 0 0 0 0 0 0 0 10830 0 0 477 0 747 0 0 0 1 0 11 0 57 0 411 1368 0 0 0 0 9 0 0 0 0 131 0 0 0 0 0 2 
21 465699 0 1 0 0 0 0 0 0 0 0 0 0 16619 0 0 161 0 199 0 0 721 0 0 2 20 0 0 2623 360 0 0 0 1 0 1 449 0 220276 120 0 0 0 282 660 45044 3849 0 0 0 264 0 0 43 0 0 0 0 14 0 0 0 0 0 11526 0 0 0 0 38872 0 0 0 0 0 0 0 0 411 287 0 0 0 0 0 68871 0 3517 0 0 0 1488 0 0 0 0 1279 216 402 0 0 0 0 0 19 0 0 0 0 291 0 192 4 0 0 0 0 0 0 0 0 0 30 215 3428 1 5663 243 0 0 0 0 20092 0 0 0 0 0 0 0 0 0 3192 0 393 0 0 0 12 0 0 0 0 0 0 0 0 10779 0 0 432 0 565 0 0 0 2 0 8 0 59 0 374 988 0 0 0 0 1 0 0 0 0 138 0 0 0 0 0 0 
22 461191 0 1 0 0 0 0 0 0 0 0 0 0 10980 0 0 152 0 178 0 0 704 0 0 1 20 0 0 1976 284 0 0 0 0 0 2 414 0 211802 203 0 0 0 299 619 47484 2556 0 0 0 223 0 0 28 0 0 0 0 18 0 0 0 0 0 18858 0 0 0 0 37576 0 0 1 0 0 0 0 0 299 269 0 0 0 0 0 76387 0 5050 0 0 0 1024 0 0 0 0 1158 175 304 0 0 0 0 0 6 0 0 0 0 187 0 118 7 0 4 0 0 0 0 0 0 0 39 219 4135 2 4772 123 0 0 0 0 17977 0 0 0 0 0 0 0 0 0 2277 0 333 0 0 0 26 0 0 0 0 0 0 0 0 9835 0 0 268 0 525 0 0 0 0 0 2 0 54 0 465 658 0 0 0 0 13 0 0 0 0 100 0 0 0 0 0 1 
23 379511 0 1 0 0 0 0 0 0 0 0 1 0 5589 0 0 135 0 144 0 0 1051 0 0 0 37 0 0 1128 215 0 0 0 0 0 2 154 0 172370 268 0 0 0 261 534 41190 1305 0 0 0 199 0 0 18 0 0 0 0 11 0 0 0 0 0 18839 0 0 0 0 30898 0 0 0 0 0 0 0 0 249 186 0 0 0 0 0 66197 0 5642 0 0 0 578 0 0 0 0 958 128 305 0 0 0 0 0 2 0 0 0 0 108 0 60 6 0 3 0 0 0 0 0 0 0 65 118 5047 1 3015 68 0 0 0 0 12208 0 0 0 0 0 0 0 0 0 1214 0 216 0 0 0 21 0 0 0 0 0 0 0 0 7166 0 0 139 0 381 0 0 0 0 0 3 0 34 0 554 408 2 0 0 0 3 0 0 0 0 76 0 0 0 0 0 0 
24 340162 0 7 0 0 0 0 0 0 0 0 3 0 2627 0 0 134 0 147 0 0 1595 0 0 2 50 0 0 699 171 0 0 0 0 0 2 97 0 151166 360 0 0 0 264 469 39315 886 0 0 0 149 0 0 9 0 0 0 0 11 0 0 0 0 0 17756 0 0 0 0 26986 0 0 0 0 0 0 0 0 168 126 0 0 0 0 1 66422 0 5851 3 0 0 360 0 0 0 0 884 111 477 0 0 0 0 0 12 0 0 0 0 77 0 40 11 0 6 0 0 0 0 0 0 0 76 96 5600 2 1614 28 0 0 0 0 8278 0 0 0 0 0 0 0 0 0 619 0 164 0 0 0 51 0 0 0 0 0 0 0 0 4792 0 0 101 0 325 0 0 0 1 0 1 0 18 0 645 219 3 0 0 0 10 0 0 0 0 65 0 0 0 0 0 0 
